kde_bandwidth,mode,psnr,ssim,lpips
0.1,test,27.829751482420416,0.8053493758058791,0.28557305798267574
0.1,train,28.72004570753335,0.8273782506330366,0.2726668209497172
10.0,test,27.72076375659045,0.8046764290845846,0.2864249546432237
10.0,train,28.652294848711517,0.8266181956259416,0.27367307451528233
2.5,test,27.807474226805223,0.8047594091924852,0.28584671894304015
2.5,train,28.70782348086622,0.8270752718662975,0.2729145410232801
5.0,test,27.75671148124336,0.8048327022866876,0.28625753967718737
5.0,train,28.646459223165643,0.8264227327586875,0.2738761691085716
