scene,kde_bandwidth,mode,psnr,ssim,lpips
bicycle,0.1,train,23.157694860436713,0.6510442917592767,0.41166470592191234
bicycle,0.1,test,23.867812441577435,0.607704271081,0.44149953842163087
bicycle,2.5,train,23.21122172047177,0.6535465343749954,0.40793817970879687
bicycle,2.5,test,23.8267393799893,0.6067134946920383,0.43870996713638305
bicycle,5.0,train,23.1884322312708,0.6517236247861186,0.4113308081083749
bicycle,5.0,test,23.79944205632977,0.6063745030510899,0.4401006233692169
bicycle,10.0,train,23.274820476189895,0.6544749510970378,0.40826655712706095
bicycle,10.0,test,23.862928421028766,0.6093544936896688,0.43864848494529723
bonsai,0.1,train,31.6541342004635,0.9272198715048189,0.2158820533284954
bonsai,0.1,test,30.881253775867847,0.9201601248009562,0.22070595299875415
bonsai,2.5,train,31.693518586160263,0.9278904904123444,0.2155191964378544
bonsai,2.5,test,30.865087475594496,0.9190538886856405,0.22097822661335403
bonsai,5.0,train,31.62817534876716,0.9270568750801772,0.21596909632869796
bonsai,5.0,test,30.879450959950873,0.9202242027755079,0.220454052896113
bonsai,10.0,train,31.63136258290848,0.927024395385289,0.2165703069345624
bonsai,10.0,test,30.825794485209563,0.9197850124423942,0.22167826141860034
counter,0.1,train,29.684656331553704,0.9045511154024293,0.19456746898838695
counter,0.1,test,28.427165899610177,0.8878038900867471,0.20932096705354494
counter,2.5,train,29.700151410046807,0.9040950049396573,0.1966575896146738
counter,2.5,test,28.4754556306365,0.8876982150385199,0.21142686235493627
counter,5.0,train,29.728367390509973,0.9044843094651267,0.19621372505386858
counter,5.0,test,28.475662039418694,0.8880243204946917,0.2115124936761527
counter,10.0,train,29.717111697909328,0.904616559352729,0.19445219148674284
counter,10.0,test,28.463562873721717,0.8879657683688557,0.20952541509578967
garden,0.1,train,27.221542677971286,0.8103686563762258,0.27692855644670333
garden,0.1,test,26.039313726199925,0.7852102131710227,0.2863132047156493
garden,2.5,train,27.18315525543682,0.809597960652201,0.27775819164625604
garden,2.5,test,26.049014052877826,0.7847912305773744,0.2869684596856435
garden,5.0,train,27.194608119214728,0.809668526723525,0.27754161909500263
garden,5.0,test,25.996131000282485,0.7839356772529267,0.28727904086311656
garden,10.0,train,27.21783916164594,0.8099828530060201,0.2781104104859488
garden,10.0,test,26.03438599383273,0.7845714813829736,0.2873485970000426
stump,0.1,train,24.48301316563244,0.6255687241633444,0.47890245285602884
stump,0.1,test,24.041212467373647,0.5914960929523337,0.4862653352320194
stump,2.5,train,24.395105794616956,0.6214495249162012,0.4816721792614788
stump,2.5,test,23.981296075952898,0.5905954390164968,0.48732918687164783
stump,5.0,train,24.3261446824143,0.6196323599742928,0.4847464143136226
stump,5.0,test,24.03822324841877,0.5912869357364218,0.48796214908361435
stump,10.0,train,24.299817835332128,0.6182162893269033,0.4865460056777394
stump,10.0,test,23.82169642739109,0.587833588796367,0.49099876545369625
room,0.1,train,33.307344473119485,0.9327471259440623,0.21782636215143344
room,0.1,test,31.147888858785134,0.9182598696635125,0.23076337919785425
room,2.5,train,33.2778230265288,0.9329920158312277,0.21738765032633262
room,2.5,test,31.15585546219856,0.9182385236122635,0.23023940202517387
room,5.0,train,33.262622489523906,0.9327084219061215,0.21808862686157227
room,5.0,test,31.104714967244064,0.917950952412981,0.2312440642943749
room,10.0,train,33.25260441924348,0.9327251798211538,0.21809023580349543
room,10.0,test,31.08001673136153,0.9176918575251758,0.2309602094002259
kitchen,0.1,train,31.53193424355632,0.9401479692810986,0.11289614695506017
kitchen,0.1,test,30.40361320752875,0.9268111688855811,0.12414302825927734
kitchen,2.5,train,31.49378857280213,0.9399553719374559,0.1134688001675684
kitchen,2.5,test,30.298871510386963,0.9262250727250629,0.1252749279141426
kitchen,5.0,train,31.196864300458635,0.9396850113754511,0.1132428939988623
kitchen,5.0,test,30.003356097058862,0.9260323242831945,0.1252503535577229
kitchen,10.0,train,31.172507767751377,0.9392871413924583,0.11367581409142642
kitchen,10.0,test,29.956961363587762,0.9255328013866572,0.12581494918891362
