mode,psnr,ssim,lpips,scene,difficulty
test,25.715717817721778,0.7464068008609542,0.3629686175440128,OVERALL_AVERAGE,ALL
train,27.511464194665102,0.7832637026494244,0.3469469619243288,OVERALL_AVERAGE,ALL
