scene,difficulty,mode,psnr,ssim,lpips
poison_grass,easy,test,23.97051845606615,0.6222745569267091,0.41379973406975085
poison_grass,easy,train,25.76359640505811,0.6900998705431516,0.3811545742864019
poison_grass,hard,test,23.958008148343442,0.620479224435486,0.41927096784114837
poison_grass,hard,train,25.660105259100558,0.689342476655623,0.38484488435963676
poison_grass,median,test,23.934276085723027,0.6211768598165357,0.41344464398347414
poison_grass,median,train,25.759476036203544,0.6911126041869419,0.3803370644369822
poison_hydrant,easy,test,23.888165288276728,0.7254872157760781,0.3308863569247095
poison_hydrant,easy,train,26.901893320557008,0.7940789451519545,0.30664642793791635
poison_hydrant,hard,test,23.824431417670556,0.7240726460309448,0.33010302719316986
poison_hydrant,hard,train,26.912977286752785,0.7957174295265003,0.305428796916976
poison_hydrant,median,test,23.91469433796731,0.7311718953521749,0.326115719974041
poison_hydrant,median,train,26.9653535657837,0.7951976718478225,0.30645941320195125
poison_lab,easy,test,25.79308600889107,0.8560834006514071,0.25686273763054296
poison_lab,easy,train,28.666588767618638,0.8921059085392594,0.23398869225021565
poison_lab,hard,test,26.05317949069931,0.8569605613919316,0.2601163253972405
poison_lab,hard,train,28.67239089189363,0.8874385949266146,0.24054096153739726
poison_lab,median,test,26.101332607212772,0.8559740528974786,0.25873168361814397
poison_lab,median,train,28.52754453963168,0.8871969991822674,0.2390132068910382
poison_pillar,easy,test,27.30059987040748,0.7135842812148809,0.4147878408432007
poison_pillar,easy,train,28.472123497593323,0.7451065251291799,0.40323780144963944
poison_pillar,hard,test,27.31335298364036,0.7128545834614615,0.4164339709281921
poison_pillar,hard,train,28.43046873524483,0.7440803536081377,0.4047861729349409
poison_pillar,median,test,27.35229789245561,0.7150281148840263,0.4144502675533295
poison_pillar,median,train,28.474484486707038,0.745442534026381,0.4022569169316973
poison_road,easy,test,26.818660762962963,0.7654422068328224,0.3593602457950855
poison_road,easy,train,27.69451226350846,0.7816994833548876,0.3538703648888286
poison_road,hard,test,26.807408167263805,0.7645135423389076,0.3637243817592489
poison_road,hard,train,27.538384400849743,0.7780629593236973,0.35923582974390766
poison_road,median,test,21.890546749793597,0.5632771354320284,0.5682136252008635
poison_road,median,train,23.059510549895556,0.5963594954810395,0.5558016205852355
poison_sky,easy,test,26.211442131701137,0.8311828594673786,0.344556608547767
poison_sky,easy,train,28.631117843279714,0.857483049728676,0.33401463329792025
poison_sky,hard,test,26.030048497703735,0.8292148504007116,0.34637514874339104
poison_sky,hard,train,28.54347090308231,0.8567223638637069,0.33525542174324846
poison_sky,median,test,25.955268361207317,0.8290481345672708,0.34651226984957856
poison_sky,median,train,28.413415756430087,0.8556406045667339,0.33626092961340237
poison_stair,easy,test,27.729075850528147,0.7792856155140204,0.34554748500094695
poison_stair,easy,train,28.227017076347206,0.7881654498890628,0.340883309332033
poison_stair,hard,test,27.601942488483694,0.78007374940474,0.3448504362787519
poison_stair,hard,train,28.223115309909197,0.7893558413200606,0.34000521717460586
poison_stair,median,test,27.58173857515909,0.7773573312830449,0.34819749129169125
poison_stair,median,train,28.203201192520034,0.7881285947862129,0.3418639608969291
