difficulty,mode,psnr,ssim,lpips,scene
easy,test,25.9587926241191,0.7561914480547566,0.35225728697314335,AVERAGE
easy,train,27.765264167708924,0.7926770331908817,0.3362565433489936,AVERAGE
hard,test,25.941195884829273,0.7554527367805975,0.3544106083058775,AVERAGE
hard,train,27.71155896954758,0.7915314313177629,0.3385853263443876,AVERAGE
median,test,25.24716494421696,0.7275762177475086,0.38223795735301735,AVERAGE
median,train,27.057569446738803,0.7655826434396283,0.3659990160796051,AVERAGE
